onset	duration	sample	trial_type	response_time	stim_file	value
0.0020000000	0.0000000000	1	n/a	n/a	n/a	sync1
0.0020000000	0.0000000000	1	n/a	n/a	n/a	sync1
0.0020000000	0.0000000000	1	n/a	n/a	n/a	sync1
107.4920000000	1.0000000000	53746	n/a	n/a	n/a	Intro 1
175.2260000000	1.0000000000	87613	n/a	n/a	n/a	12
175.2600000000	1.0000000000	87630	n/a	n/a	n/a	Intro 2
176.7520000000	1.0000000000	88376	n/a	n/a	n/a	ASRinstruct
193.0980000000	1.0000000000	96549	n/a	n/a	n/a	12
193.1420000000	1.0000000000	96571	n/a	n/a	n/a	ASReyesopen
253.1420000000	1.0000000000	126571	n/a	n/a	n/a	end
261.4720000000	1.0000000000	130736	n/a	n/a	n/a	12
261.4800000000	1.0000000000	130740	n/a	n/a	n/a	ASRinstruct
264.7220000000	1.0000000000	132361	n/a	n/a	n/a	12
264.7620000000	1.0000000000	132381	n/a	n/a	n/a	ASReyesclose
324.7620000000	1.0000000000	162381	n/a	n/a	n/a	end
330.2480000000	1.0000000000	165124	n/a	n/a	n/a	12
330.2580000000	1.0000000000	165129	n/a	n/a	n/a	ASRinstruct
334.9260000000	1.0000000000	167463	n/a	n/a	n/a	12
334.9620000000	1.0000000000	167481	n/a	n/a	n/a	ASReyesopen
394.9640000000	1.0000000000	197482	n/a	n/a	n/a	end
399.9340000000	1.0000000000	199967	n/a	n/a	n/a	12
399.9420000000	1.0000000000	199971	n/a	n/a	n/a	ASRinstruct
403.6060000000	1.0000000000	201803	n/a	n/a	n/a	12
403.6440000000	1.0000000000	201822	n/a	n/a	n/a	ASReyesclose
463.6440000000	1.0000000000	231822	n/a	n/a	n/a	end
473.7220000000	1.0000000000	236861	n/a	n/a	n/a	12
473.7300000000	1.0000000000	236865	n/a	n/a	n/a	Standing
512.6280000000	1.0000000000	256314	n/a	n/a	n/a	12
512.6640000000	1.0000000000	256332	n/a	n/a	n/a	countdown_lowdev
525.6740000000	1.0000000000	262837	n/a	n/a	n/a	standard1
526.4440000000	1.0000000000	263222	n/a	n/a	n/a	standard1
527.8440000000	1.0000000000	263922	n/a	n/a	n/a	standard1
528.4940000000	1.0000000000	264247	n/a	n/a	n/a	standard1
529.0140000000	1.0000000000	264507	n/a	n/a	n/a	standard1
530.2840000000	1.0000000000	265142	n/a	n/a	n/a	standard1
530.9340000000	1.0000000000	265467	n/a	n/a	n/a	standard1
532.4540000000	1.0000000000	266227	n/a	n/a	n/a	standard1
533.9740000000	1.0000000000	266987	n/a	n/a	n/a	standard1
535.3740000000	1.0000000000	267687	n/a	n/a	n/a	standard1
536.8940000000	1.0000000000	268447	n/a	n/a	n/a	standard1
538.4140000000	1.0000000000	269207	n/a	n/a	n/a	standard1
539.8140000000	1.0000000000	269907	n/a	n/a	n/a	standard1
540.7140000000	1.0000000000	270357	n/a	n/a	n/a	standard1
541.3640000000	1.0000000000	270682	n/a	n/a	n/a	standard1
542.5140000000	1.0000000000	271257	n/a	n/a	n/a	deviant1
543.7840000000	1.0000000000	271892	n/a	n/a	n/a	standard1
544.8040000000	1.0000000000	272402	n/a	n/a	n/a	standard1
546.2040000000	1.0000000000	273102	n/a	n/a	n/a	standard1
547.3540000000	1.0000000000	273677	n/a	n/a	n/a	standard1
547.8740000000	1.0000000000	273937	n/a	n/a	n/a	deviant1
548.5240000000	1.0000000000	274262	n/a	n/a	n/a	standard1
549.4240000000	1.0000000000	274712	n/a	n/a	n/a	deviant1
550.5740000000	1.0000000000	275287	n/a	n/a	n/a	standard1
551.3440000000	1.0000000000	275672	n/a	n/a	n/a	standard1
552.7440000000	1.0000000000	276372	n/a	n/a	n/a	standard1
553.5140000000	1.0000000000	276757	n/a	n/a	n/a	standard1
554.6640000000	1.0000000000	277332	n/a	n/a	n/a	standard1
556.0640000000	1.0000000000	278032	n/a	n/a	n/a	standard1
557.5840000000	1.0000000000	278792	n/a	n/a	n/a	deviant1
558.1040000000	1.0000000000	279052	n/a	n/a	n/a	standard1
559.5040000000	1.0000000000	279752	n/a	n/a	n/a	deviant1
560.5240000000	1.0000000000	280262	n/a	n/a	n/a	standard1
561.0440000000	1.0000000000	280522	n/a	n/a	n/a	standard1
562.4440000000	1.0000000000	281222	n/a	n/a	n/a	deviant1
563.0940000000	1.0000000000	281547	n/a	n/a	n/a	standard1
564.6140000000	1.0000000000	282307	n/a	n/a	n/a	standard1
565.7640000000	1.0000000000	282882	n/a	n/a	n/a	standard1
566.2840000000	1.0000000000	283142	n/a	n/a	n/a	deviant1
567.1840000000	1.0000000000	283592	n/a	n/a	n/a	standard1
568.2040000000	1.0000000000	284102	n/a	n/a	n/a	standard1
568.9740000000	1.0000000000	284487	n/a	n/a	n/a	standard1
569.8740000000	1.0000000000	284937	n/a	n/a	n/a	deviant1
570.7740000000	1.0000000000	285387	n/a	n/a	n/a	standard1
571.6740000000	1.0000000000	285837	n/a	n/a	n/a	standard1
572.9440000000	1.0000000000	286472	n/a	n/a	n/a	standard1
573.6040000000	1.0000000000	286802	n/a	n/a	n/a	deviant1
575.0040000000	1.0000000000	287502	n/a	n/a	n/a	standard1
575.7740000000	1.0000000000	287887	n/a	n/a	n/a	standard1
577.1740000000	1.0000000000	288587	n/a	n/a	n/a	standard1
577.8240000000	1.0000000000	288912	n/a	n/a	n/a	standard1
578.4740000000	1.0000000000	289237	n/a	n/a	n/a	standard1
579.7440000000	1.0000000000	289872	n/a	n/a	n/a	standard1
580.6440000000	1.0000000000	290322	n/a	n/a	n/a	standard1
581.4140000000	1.0000000000	290707	n/a	n/a	n/a	standard1
582.8140000000	1.0000000000	291407	n/a	n/a	n/a	standard1
584.3340000000	1.0000000000	292167	n/a	n/a	n/a	standard1
585.3540000000	1.0000000000	292677	n/a	n/a	n/a	deviant1
586.0040000000	1.0000000000	293002	n/a	n/a	n/a	standard1
587.0240000000	1.0000000000	293512	n/a	n/a	n/a	standard1
587.6740000000	1.0000000000	293837	n/a	n/a	n/a	standard1
588.8240000000	1.0000000000	294412	n/a	n/a	n/a	standard1
589.3440000000	1.0000000000	294672	n/a	n/a	n/a	standard1
590.6140000000	1.0000000000	295307	n/a	n/a	n/a	standard1
591.3840000000	1.0000000000	295692	n/a	n/a	n/a	standard1
592.7840000000	1.0000000000	296392	n/a	n/a	n/a	standard1
594.1840000000	1.0000000000	297092	n/a	n/a	n/a	deviant1
595.4560000000	1.0000000000	297728	n/a	n/a	n/a	standard1
596.3560000000	1.0000000000	298178	n/a	n/a	n/a	standard1
597.2560000000	1.0000000000	298628	n/a	n/a	n/a	deviant1
597.9060000000	1.0000000000	298953	n/a	n/a	n/a	standard1
598.5560000000	1.0000000000	299278	n/a	n/a	n/a	standard1
599.2060000000	1.0000000000	299603	n/a	n/a	n/a	standard1
600.1060000000	1.0000000000	300053	n/a	n/a	n/a	standard1
601.3760000000	1.0000000000	300688	n/a	n/a	n/a	standard1
602.6460000000	1.0000000000	301323	n/a	n/a	n/a	standard1
603.7960000000	1.0000000000	301898	n/a	n/a	n/a	standard1
604.6960000000	1.0000000000	302348	n/a	n/a	n/a	standard1
605.5960000000	1.0000000000	302798	n/a	n/a	n/a	standard1
606.1160000000	1.0000000000	303058	n/a	n/a	n/a	standard1
607.5160000000	1.0000000000	303758	n/a	n/a	n/a	standard1
608.6660000000	1.0000000000	304333	n/a	n/a	n/a	standard1
609.1860000000	1.0000000000	304593	n/a	n/a	n/a	standard1
610.4560000000	1.0000000000	305228	n/a	n/a	n/a	standard1
611.1060000000	1.0000000000	305553	n/a	n/a	n/a	standard1
612.6260000000	1.0000000000	306313	n/a	n/a	n/a	standard1
614.1460000000	1.0000000000	307073	n/a	n/a	n/a	standard1
615.4160000000	1.0000000000	307708	n/a	n/a	n/a	deviant1
616.4360000000	1.0000000000	308218	n/a	n/a	n/a	standard1
617.9560000000	1.0000000000	308978	n/a	n/a	n/a	standard1
619.4760000000	1.0000000000	309738	n/a	n/a	n/a	deviant1
620.7460000000	1.0000000000	310373	n/a	n/a	n/a	standard1
621.8960000000	1.0000000000	310948	n/a	n/a	n/a	standard1
623.2960000000	1.0000000000	311648	n/a	n/a	n/a	standard1
624.0660000000	1.0000000000	312033	n/a	n/a	n/a	standard1
